pdb_id,I_descriptor_distance_score,I_nn012,I_nn0129
1ibd_1,13.083592891693115,0.21808551996946335,0.8391014337539673
1bww_1,11.970376014709473,0.44435496628284454,0.8048159778118134
4jz2_1,14.685175895690918,0.08060874417424202,0.7544373571872711
4re8_3,14.289220809936523,0.6929503679275513,0.927584171295166
1nfs_1,30.585487365722656,0.9861958026885986,0.9887360632419586
1to4_1,20.262813568115234,0.9358906149864197,0.9798086881637573
2pl1_1,10.382032871246338,0.5615015923976898,0.7305940389633179
3pyi_1,16.72418975830078,0.915864884853363,0.9566135406494141
4mdh_1,30.06616973876953,0.9777571856975555,0.9885880053043365
3oco_1,18.451086044311523,0.8672341108322144,0.9655326306819916
2w0l_2,10.659029006958008,0.261533759534359,0.7024199366569519
2ywa_1,36.147335052490234,0.9940731227397919,0.9950221478939056
3f8h_1,47.48756790161133,0.9957949221134186,0.9932636618614197
3teq_3,32.513309478759766,0.9971614181995392,0.996932178735733
3teq_1,32.513309478759766,0.9971614181995392,0.996932178735733
1qq7_1,53.183677673339844,0.9972893595695496,0.9938972592353821
3gff_1,23.61345100402832,0.4439312070608139,0.9397163987159729
2v3t_1,NA,NA,NA
1wn2_1,51.09971618652344,0.9980296790599823,0.995963990688324
5eo6_1,44.103294372558594,0.9959004521369934,0.9954553842544556
3hyq_2,29.922307014465332,0.9514442980289459,0.9815361499786377
1z9p_1,14.721000671386719,0.953055739402771,0.9794660806655884
1t0i_1,28.411380767822266,0.9934136271476746,0.9925503134727478
3bwv_1,31.39474582672119,0.9929843544960022,0.9954250156879425
2tpt_1,38.22319221496582,0.9996173679828644,0.9987238049507141
3uro_2,8.788922309875488,0.0028451598482206464,0.05403589829802513
3wpw_1,32.78078079223633,0.9972210824489594,0.9972495436668396
3n77_3,30.572043418884277,0.9906889796257019,0.9861178994178772
1v2z_1,27.51329517364502,0.9734746217727661,0.9940547049045563
4o1r_2,8.694379806518555,0.19308385252952576,0.7965750992298126
1i74_1,10.250501155853271,0.4729931950569153,0.7029529511928558
1q7s_3,37.034786224365234,0.996446043252945,0.9959171116352081
4rfp_1,6.345612049102783,0.040457241237163544,0.6776582896709442
4xas_1,10.734265804290771,0.03191841533407569,0.5464251339435577
3rtl_6,1.8632983565330505,0.3872036635875702,0.9049217700958252
1psq_1,12.08824110031128,0.1496652141213417,0.602525532245636
2r8q_1,12.568334102630615,0.9531022608280182,0.9685285985469818
2hjd_1,21.742815017700195,0.9887820482254028,0.9903880953788757
2cx4_1,9.075088024139404,0.10431548207998276,0.6381067037582397
2d13_2,27.37419891357422,0.9946772456169128,0.9948751330375671
3wud_1,19.155543327331543,0.9449261724948883,0.9930897653102875
1ixq_2,32.23837661743164,0.9735439121723175,0.9864364564418793
1slb_2,15.783825874328613,0.3538370057940483,0.8505416214466095
2r7h_1,12.038792610168457,0.9659149348735809,0.976468950510025
3kg7_2,14.925208568572998,0.2526995427906513,0.7419961094856262
3ljs_1,13.780014991760254,0.13063999265432358,0.6570926606655121
4o1w_1,4.650424480438232,0.693172037601471,0.6868939697742462
2aca_1,21.255084991455078,0.8960977792739868,0.9915144741535187
4a7p_1,41.461381912231445,0.9749514758586884,0.9895289838314056
2qlx_2,46.509281158447266,0.9945650100708008,0.9943547546863556
3rbg_2,23.9209041595459,0.7861001193523407,0.9565905630588531
2nvn_1,26.590676307678223,0.9854546785354614,0.9858091771602631
1y7y_1,26.264896392822266,0.9798792004585266,0.9855591058731079
2cc3_1,11.416615009307861,0.27909522503614426,0.9008648097515106
3c8j_1,23.956092834472656,0.9975301623344421,0.9981550872325897
4gmk_1,12.262697219848633,0.3185100629925728,0.7942712008953094
3lyn_1,16.757057189941406,0.9863775372505188,0.9766137003898621
3c5q_1,24.058027267456055,0.4830941781401634,0.899119108915329
2zvz_1,20.522823333740234,0.8829408288002014,0.968020498752594
1z72_1,44.118595123291016,0.9981519877910614,0.9976492822170258
1s9c_6,25.181425094604492,0.9872139692306519,0.9897368252277374
3woi_1,5.347832202911377,0.06912431679666042,0.6048707067966461
1sfl_1,41.34723663330078,0.9906821846961975,0.9934792220592499
1ail_1,23.858649253845215,0.9130192697048187,0.9787403345108032
2ew2_1,18.72540283203125,0.8563884794712067,0.9810487926006317
2oai_1,11.379790782928467,0.006435242248699069,0.3037928640842438
3eul_6,27.34982204437256,0.9886763989925385,0.9901313185691833
1np6_1,21.9044189453125,0.9660553932189941,0.9812246859073639
1m2a_1,26.658275604248047,0.9829484522342682,0.9953549206256866
3hx8_2,48.57493591308594,0.9930338561534882,0.9941396117210388
2oik_2,23.969457626342773,0.9957866966724396,0.9955729842185974
2e46_1,19.14475727081299,0.8121171593666077,0.8526319265365601
3l18_1,31.440309524536133,0.9815021455287933,0.9913877844810486
2jfp_1,NA,NA,NA
4o9k_1,18.578335762023926,0.9121506214141846,0.9614521563053131
2yxz_2,52.45245361328125,0.9968296885490417,0.9965070188045502
3hh7_1,18.777798652648926,0.9621310234069824,0.9808810949325562
1m08_1,8.023093223571777,0.20867985486984253,0.6565937101840973
2iy2_1,41.52150344848633,0.9988070726394653,0.9973297119140625
1zsz_1,6.796109437942505,0.0895050959661603,0.3421396017074585
3clk_1,20.80702018737793,0.5719327628612518,0.9032300412654877
1oya_1,24.710025787353516,0.824672281742096,0.9615052044391632
1wwp_1,22.276728630065918,0.9952699542045593,0.9946698844432831
1xi3_1,19.45187473297119,0.9398460388183594,0.9879277050495148
3tzu_1,6.14621639251709,0.043402669951319695,0.6696537733078003
1cp2_1,12.16644811630249,0.7264162600040436,0.8092994093894958
2gpc_1,17.836393356323242,0.16939353942871094,0.8237880766391754
1fvp_1,6.784132480621338,0.015923214610666037,0.4960048645734787
4wov_3,12.179898262023926,0.3073292374610901,0.7347156703472137
2ogi_1,NA,NA,NA
2wfc_1,14.111996173858643,0.6236657798290253,0.9281617701053619
4kv9_1,15.915101528167725,0.8442155420780182,0.9815132319927216
3r8c_1,15.792870998382568,0.6032198667526245,0.7713555693626404
3lhr_1,30.674309730529785,0.9982156455516815,0.9974028766155243
5cjj_1,5.305530309677124,0.3145958185195923,0.8125079274177551
1j8b_1,19.619117736816406,0.9230991303920746,0.9847911596298218
3crj_1,26.225784301757812,0.9953566193580627,0.9944007396697998
3dvi_1,23.809578895568848,0.8056216239929199,0.9798804521560669
1tvd_1,28.982274055480957,0.9711102843284607,0.9875158667564392
3pc7_1,18.681997299194336,0.9617750644683838,0.9736592471599579
3cwc_1,32.9000301361084,0.9963715374469757,0.996639609336853
4g2e_1,20.59129047393799,0.9717796444892883,0.985182374715805
4exo_1,3.303374767303467,0.16033190116286278,0.7498759627342224
3kcn_1,5.955246686935425,0.17832230776548386,0.47727182507514954
4guz_5,8.64053726196289,0.19136165082454681,0.6245555281639099
3g7p_1,16.261147499084473,0.6390962600708008,0.9835036993026733
2qrr_1,7.020393133163452,0.18595779687166214,0.36403118073940277
3mq4_1,NA,NA,NA
2fhq_1,29.321508407592773,0.9823606610298157,0.9950707256793976
3w64_1,11.580910682678223,0.7813387811183929,0.8913101255893707
