Feature1,Feature2,Corr Pearson,Corr Spearman,Corr KendallTau
 F_Evdw, F_Eelec,0.0037863314616426924,0.23195063731026172,0.15965951564539518
 F_Evdw, F_bsa,0.0011977737242038458,-0.4809432370042775,-0.36765850712945786
 F_Evdw, F_Edesolv,-0.025247212476184923,0.2532157817797076,0.1753123235012693
 F_Evdw,F_CP_BFKV,-0.019900608474525603,0.18785004098044344,0.12733002780278577
 F_Evdw,F_CP_BL,-0.0034834682558760434,0.09450231378373197,0.06211762321539317
 F_Evdw,F_CP_BT,-0.0222794406542878,0.22212721196500473,0.15142861833486476
 F_Evdw,F_CP_GKS,0.010344176346564937,0.09093064080414415,0.0602052520427872
 F_Evdw,F_CP_HLPL,-0.0019085329101237287,0.3709952878710565,0.26295874993324625
 F_Evdw,F_CP_MJPL,0.01584502916920888,0.45340154711622177,0.3305241978336356
 F_Evdw,F_CP_MJ3h,-0.013478227365857813,0.2341717763096621,0.16187495264571858
 F_Evdw,F_CP_MJ2h,0.013302311500821408,0.4570820174767549,0.3295353771088865
 F_Evdw,F_CP_MJ1,-0.025240333309944678,-0.475307870308274,-0.3504863232111292
 F_Evdw,F_CP_MJ2,-0.0009362522960110246,0.039064036736026896,0.024102935429511918
 F_Evdw,F_CP_MSBM,0.021532826049561242,0.034779081186886905,0.024479125027172668
 F_Evdw,F_CP_MS,0.0018223340181317224,0.0680960943574552,0.04449985838296658
 F_Evdw,F_CP_Qa,-0.04531952641034934,0.004571481172411596,0.005418231744924007
 F_Evdw,F_CP_Qm,-0.04662974365061345,0.027503477920089565,0.020157045668804396
 F_Evdw,F_CP_Qp,-0.00790606567946349,0.34837052783446176,0.24514220819186325
 F_Evdw,F_CP_RO,-0.007141510407463136,-0.04701168869019589,-0.030914039899668337
 F_Evdw,F_CP_SKOb,-0.024947305804129453,0.10083768703517072,0.06887643610692472
 F_Evdw,F_CP_SKOa,-0.032443099560385776,-0.00226203800369481,-0.0003955949584217716
 F_Evdw,F_CP_SJKG,-0.03416168021874784,0.026728484688855938,0.01959082631876345
 F_Evdw,F_CP_TD,-0.004323764275819662,0.27413685585842,0.188556849001794
 F_Evdw,F_CP_TEl,-0.03697764549790906,0.17888819319529378,0.12235690504539311
 F_Evdw,F_CP_TEs,-0.027698482007947403,0.17099779939856785,0.11776316230951182
 F_Evdw,F_CP_TS,0.01978144827585869,0.4807072527006928,0.3542875668079533
 F_Evdw,F_CP_VD,0.009828854639441643,0.12578893848206363,0.08485898835939686
 F_Evdw,F_CP_SKOIP,-0.007629654948535958,0.29376482663546055,0.20531635204817358
 F_Evdw,F_AP_DCOMPLEX,0.026791543031729675,0.4926481831866995,0.3588604304759339
 F_Evdw,F_AP_dDFIRE,0.0033842976420888826,0.48839371670209414,0.3536422944550817
 F_Evdw,F_AP_DFIRE2,0.012153882723165114,0.5089218209236614,0.37693664645475905
 F_Evdw,F_CP_RMFCEN1,-0.001151592005586647,0.4758113319249588,0.34819167624343456
 F_Evdw,F_CP_RMFCEN2,-0.002705468879230533,0.4638071182006137,0.3361712181987232
 F_Evdw,F_CP_RMFCA,0.0023766223935669023,0.44414121116029476,0.32009322638697674
 F_Evdw,F_CP_TB,-0.006880516848393356,0.3086503571931577,0.21424176460535682
 F_Evdw,F_CP_TSC,-0.0032947168344921703,0.33935158452051,0.23899060629506916
 F_Evdw,F_AP_T1,0.018248299153419363,0.4824357993836399,0.3493534184072777
 F_Evdw,F_AP_T2,0.018332972255235294,0.47286033336372496,0.3395898019723818
 F_Evdw,F_AP_DOPE,0.029722400636563645,0.47003223377455766,0.34531024972287494
 F_Evdw,F_AP_DOPE_HR,0.07037690049631183,0.4316465417366235,0.30766810488330526
 F_Evdw,F_AP_ACE,-0.014998699568506718,0.2392552072031298,0.16763400306898807
 F_Evdw,F_INSIDE,0.009774680361565018,0.1405139846592657,0.09618820102235477
 F_Evdw,F_HBOND,0.00600154635876767,0.3126729471610098,0.21640301463767808
 F_Evdw,F_PI_PI,-0.04371063512461175,0.21347583141300272,0.15349802464597018
 F_Evdw,F_CAT_PI,-0.003389387212966938,0.11776473134927269,0.09138238274443625
 F_Evdw,F_ALIPH,-0.0035592156399780342,0.2114219976290575,0.14843424061528304
 F_Evdw,F_ZRANK,0.039057853612251045,0.5039780619443228,0.37226609762110313
 F_Evdw,F_ZRANK2,0.22174519045128194,0.4190399821569831,0.30041827407878036
 F_Evdw,F_ROT_S,-0.026884507113400444,0.15046385648417435,0.10404722254303171
 F_Evdw,F_TRANS_S,-0.023844840034344655,0.0887396989976442,0.06097036620143945
 F_Evdw,F_NIPacking,0.07591025665152781,0.4380734694658974,0.3271983931454714
 F_Evdw,F_NSC,0.10089067636013288,0.41795556195555006,0.3123439157759095
 F_Evdw,F_FA_ATR,0.005792203874576348,0.47747347017454,0.36558829196992193
 F_Evdw,F_FA_REP,0.25127380947971545,0.08953748602250716,0.051072443202661924
 F_Evdw,F_LK_SOLV,-0.021294811076285815,-0.3057245571045027,-0.22226643352789846
 F_Evdw,F_FA_PP,0.01205346601601773,0.14825855168129637,0.09924551192478356
 F_Evdw,F_CG_VDW,0.10479663631165413,0.01953057544694767,0.014869956480606478
