pdb-id,F_shape,F_hydro,F_tails,I_shape_hydro_tails,Training
1a17_6,0.107869575876,0.471105527638,0,0.289487551757,FALSE
1a3a_1,0.170149883893,0.300626304802,1,0.470776188695,TRUE
1a7g_1,0.200417744181,0.158031088083,0,0.179224416132,TRUE
1ac6_1,0.0823206171404,0.343347639485,1,0.4256682566254,FALSE
1afw_1,0.174993846911,0.231493943472,1,0.406487790383,FALSE
1ail_1,0.167009461127,0.456331877729,1,0.623341338856,FALSE
1aiz_1,0.0257375381485,0.0761099365751,1,0.1018474747236,TRUE
1aoh_1,0.114198799638,0.132042253521,1,0.246241053159,FALSE
1azt_1,0.0378900445765,0.0443349753695,1,0.082225019946,FALSE
1azw_1,0.163348524826,0.113055181696,1,0.276403706522,FALSE
1b0w_1,0.164996802388,0.294736842105,1,0.459733644493,TRUE
1b23_4,0.108628874616,0.0883280757098,1,0.1969569503258,FALSE
1b78_1,0.0782826177574,0.317562149158,1,0.3958447669154,FALSE
1bgf_1,0.0715935334873,0.20652173913,1,0.2781152726173,FALSE
1bhm_1,0.050168534922,0.151243781095,1,0.201412316017,TRUE
1bjj_9,0.0174382579446,0.0925925925926,1,0.1100308505372,FALSE
1bjt_1,0.0277191248484,0.130634774609,1,0.1583538994574,FALSE
1bp6_1,0.0321775844422,0.0191082802548,0,0.0256429323485,FALSE
1br1_20,0.0153780130177,0.0858827865831,0,0.0506303998004,FALSE
1bs2_4,0.0194579569145,0.101919258769,0,0.06068860784175,FALSE
1bws_1,0.0199571169388,0.0372093023256,1,0.0571664192644,FALSE
1bww_1,0.174430535604,0.241379310345,1,0.415809845949,TRUE
1c16_14,0.0264365705893,0.0530474040632,1,0.0794839746525,FALSE
1c3g_1,0.0533994136535,0.07,1,0.1233994136535,TRUE
1cd0_1,0.120906338868,0.326530612245,1,0.447436951113,TRUE
1cd8_1,0.192572353775,0.447368421053,1,0.639940774828,TRUE
1cdt_1,0.12699737658,0.164665523156,1,0.291662899736,FALSE
1cp2_1,0.0899968394437,0.15672178289,1,0.2467186223337,FALSE
1cx8_2,0.000480393923017,0.0924261874198,0,0.0464532906714085,FALSE
1cyy_5,0.0452124987441,0.0242587601078,0,0.03473562942595,FALSE
1d1t_4,0.112165178571,0.220864661654,1,0.333029840225,FALSE
1d5w_2,0.0714619883041,0.225865209472,1,0.2973271977761,TRUE
1dd7_1,0.0535519125683,0.0593590677349,0,0.0564554901516,FALSE
1dgk_1,0.0203042143455,0.0357336220899,1,0.0560378364354,FALSE
1dov_3,0.20585070612,0.127346938776,1,0.333197644896,FALSE
1dp4_1,0.018474726574,0.0758620689655,1,0.0943367955395,TRUE
1dp4_2,0.0218422283081,0.0705128205128,1,0.0923550488209,TRUE
1dt9_4,0.0242084513983,0.089342693044,1,0.1135511444423,FALSE
1dvr_1,0.0704051383399,0.290322580645,1,0.3607277189849,TRUE
1e59_1,0.125576326599,0.104347826087,1,0.229924152686,FALSE
1e6c_1,0.131891187961,0.289293849658,1,0.421185037619,FALSE
1e7n_1,0.162112932605,0.375,0,0.2685564663025,FALSE
1e85_1,0.093023255814,0.198319327731,0,0.1456712917725,FALSE
1ecx_1,0.039752606115,0.0949152542373,0,0.06733393017615,FALSE
1eeq_1,0.111663479924,0.142424242424,1,0.254087722348,FALSE
1eku_1,0.0765727778715,0.422619047619,0,0.24959591274525,FALSE
1eqw_2,0.0728151151756,0.210526315789,1,0.2833414309646,TRUE
1erv_1,0.0281824695486,0,1,0.0281824695486,FALSE
1esr_1,0.104927744368,0.285714285714,0,0.195321015041,FALSE
1ewj_2,0.108636268124,0.233707865169,0,0.1711720666465,FALSE
1ex2_1,0.0467053538001,0,1,0.0467053538001,TRUE
1f1c_1,0.021566513087,0.255570117955,1,0.277136631042,FALSE
1f1g_2,0.114701419263,0.312416555407,0,0.213558987335,FALSE
1f1j_5,0.044411832857,0.151330798479,1,0.195742631336,FALSE
1fe0_1,0.0895500512971,0.188790560472,1,0.2783406117691,FALSE
1fp3_2,0.0340561144785,0.223404255319,1,0.2574603697975,FALSE
1fp5_1,0.0533158240315,0.168741355463,1,0.2220571794945,FALSE
1fpq_1,0.11238129801,0.448340638698,1,0.560721936708,TRUE
1fr1_1,0.0977416826957,0.0926045016077,1,0.1903461843034,FALSE
1fse_3,0.0977432590856,0.459807073955,0,0.2787751665203,FALSE
1fu1_8,0,0.124904214559,1,0.124904214559,FALSE
1fux_1,0.0386447856008,0.0515759312321,1,0.0902207168329,TRUE
1fvp_1,0.240812762918,0.361427863163,1,0.602240626081,FALSE
1fzv_1,0.201402123605,0.435458786936,1,0.636860910541,FALSE
1g73_7,0.126357869123,0.157957244656,1,0.284315113779,FALSE
1gam_1,0.117223924337,0.287769784173,0,0.202496854255,FALSE
1gan_1,0.0801881749171,0.350797266515,0,0.21549272071605,FALSE
1gcj_1,0.0117450784117,0.133727810651,0,0.07273644453135,FALSE
1gmz_1,0.0886960916442,0.272897196262,1,0.3615932879062,FALSE
1gyl_1,0.0407549234136,0.0677083333333,1,0.1084632567469,FALSE
1gyo_1,0.0546407185629,0.119601328904,0,0.08712102373345,FALSE
1h0x_1,0.178728689172,0.258532423208,1,0.43726111238,FALSE
1h1y_1,0.0633360431602,0.338877338877,1,0.4022133820372,TRUE
1h3i_1,0.0504490843345,0.17191283293,0,0.11118095863225,FALSE
1ha4_1,0.0877751259613,0.345303867403,0,0.21653949668215,FALSE
1hjr_1,0.12052759248,0.290371879776,1,0.410899472256,FALSE
1hlc_1,0.095102829224,0.744047619048,0,0.419575224136,FALSE
1hq8_1,0.108244913852,0.435845213849,0,0.2720450638505,FALSE
1hsj_1,0.0405024180548,0.301832208293,0,0.1711673131739,FALSE
1hux_1,0.0283787580781,0.163761225568,1,0.1921399836461,FALSE
1hy3_1,0.0146757919989,0,1,0.0146757919989,FALSE
1i74_1,0.133961605585,0.171462125661,1,0.305423731246,FALSE
1ibd_1,0.1135927994,0.128593040847,1,0.242185840247,FALSE
1ici_5,0.13790139375,0.432013769363,0,0.2849575815565,FALSE
1ii2_1,0.0207280602248,0.12074829932,1,0.1414763595448,TRUE
1iiw_1,0.0894706967504,0.206489675516,1,0.2959603722664,TRUE
1ijy_1,0.0580066968682,0.212121212121,0,0.1350639544946,FALSE
1iqc_1,0.125479322754,0.296980899569,1,0.422460222323,FALSE
1is3_1,0.0612888162503,0.406727828746,0,0.23400832249815,TRUE
1iug_1,0.296347714652,0.14039408867,0,0.218370901661,FALSE
1ivl_1,0.129911402157,0.631474103586,0,0.3806927528715,FALSE
1ix9_1,0.0599102209945,0.153522607781,1,0.2134328287755,FALSE
1ixq_2,0.0749709976798,0.211143695015,1,0.2861146926948,FALSE
1iyz_1,0.0252380952381,0.1144839549,1,0.1397220501381,FALSE
1j1i_1,0.0857022353437,0.129890453834,0,0.10779634458885,FALSE
1j36_3,0.0186266674863,0.0658536585366,0,0.04224016301145,FALSE
1j8b_1,0.172640133361,0.417808219178,1,0.590448352539,FALSE
1j8f_5,0.0338356718055,0.316880552813,1,0.3507162246185,FALSE
1jbg_1,0.130867110474,0.432692307692,1,0.563559418166,FALSE
1jhe_1,0.0762914160222,0.334123222749,0,0.2052073193856,FALSE
1jil_1,0.121094547682,0,1,0.121094547682,FALSE
1jm0_2,0.211237334971,0.430622009569,1,0.64185934454,TRUE
1jog_2,0.164044561612,0.294366197183,1,0.458410758795,FALSE
1jqj_9,0.0905264251936,0.111198120595,1,0.2017245457886,FALSE
1jr9_1,0.0877520269785,0.359550561798,1,0.4473025887765,FALSE
1jrk_1,0.162617749132,0.298378378378,0,0.230498063755,FALSE
1juh_9,0.407871417222,0.12702366127,0,0.267447539246,FALSE
1jye_1,0.0497440609004,0.0508044030483,1,0.1005484639487,FALSE
1jzo_1,0.0285731767009,0.224661071659,1,0.2532342483599,FALSE
1k1y_4,0.0808599971044,0.0716586151369,1,0.1525186122413,FALSE
1k46_1,0.320617773652,0.498853211009,0,0.4097354923305,FALSE
1k6i_3,0.147608840269,0.154411764706,0,0.1510103024875,FALSE
1k9a_11,0.0502310739437,0.10857538036,1,0.1588064543037,FALSE
1kcm_6,0.0590065977841,0.325118483412,1,0.3841250811961,FALSE
1kez_1,0.0202442159383,0.134103019538,0,0.07717361773815,FALSE
1kho_1,0.0229591836735,0.0551181102362,1,0.0780772939097,FALSE
1kie_1,0.024099801531,0.163449163449,1,0.18754896498,FALSE
1kix_3,0.188835688427,0.391513210568,1,0.580348898995,FALSE
1ks2_1,0.0543988269795,0.233333333333,1,0.2877321603125,TRUE
1ktn_1,0.0518207282913,0.16878767582,1,0.2206084041113,TRUE
1ku2_1,0.154105736783,0.307792207792,0,0.2309489722875,FALSE
1kut_1,0.0304344629861,0.14535246413,1,0.1757869271161,FALSE
1kvo_2,0.0181587837838,0.0343878954608,1,0.0525466792446,FALSE
1l7c_5,0.0544077552257,0.251015801354,0,0.15271177828985,FALSE
1lee_3,0.11337013599,0.353424657534,1,0.466794793524,FALSE
1lkv_6,0.0244686800895,0.171575846834,0,0.09802226346175,FALSE
1lvb_5,0.0513808606294,0.169491525424,0,0.1104361930267,FALSE
1lws_4,0.0339835671567,0.031746031746,1,0.0657295989027,FALSE
1lyn_1,0.0819002952927,0.156726768377,1,0.2386270636697,TRUE
1m08_1,0.0174461766889,0,0,0.00872308834445,FALSE
1m2a_1,0.149523809524,0.220394736842,0,0.184959273183,FALSE
1m6b_2,0.0393306541933,0.141266699654,1,0.1805973538473,FALSE
1mft_1,0.278823178017,0.902564102564,0,0.5906936402905,FALSE
1mi8_1,0.0719991806637,0.234082397004,1,0.3060815776677,TRUE
1mml_2,0.0754704117807,0.19087635054,0,0.13317338116035,FALSE
1mp9_1,0.185149073741,0.38339100346,1,0.568540077201,TRUE
1mqd_4,0.0596012136974,0.191335740072,1,0.2509369537694,TRUE
1mvh_1,0.0269402058845,0.133400200602,0,0.08017020324325,FALSE
1my6_1,0.0840508405084,0.115789473684,1,0.1998403141924,FALSE
1my7_1,0.0404653515427,0.29347826087,1,0.3339436124127,FALSE
1n0v_2,0.0295251527974,0.0591363539672,0,0.0443307533823,FALSE
1nfs_1,0.0434854089601,0.108910891089,1,0.1523963000491,FALSE
1nft_1,0.0597595473833,0.155589123867,1,0.2153486712503,FALSE
1nft_2,0.111537043863,0.158610271903,1,0.270147315766,FALSE
1np6_1,0.167056074766,0.439241917503,1,0.606297992269,TRUE
1np8_1,0.0744895488661,0.128608923885,0,0.10154923637555,FALSE
1ns5_1,0.0834015461573,0.257530120482,0,0.17046583331965,FALSE
1nvt_1,0.0553527527378,0.238927265339,1,0.2942800180768,FALSE
1nzi_1,0.0958208100759,0.26209977662,1,0.3579205866959,TRUE
1o12_1,0.0361333581673,0.232817869416,1,0.2689512275833,FALSE
1o64_1,0.0580971509336,0.307082152975,1,0.3651793039086,FALSE
1o6d_2,0.100231440271,0.304849884527,1,0.405081324798,TRUE
1obb_1,0.106035565545,0.0529279279279,1,0.1589634934729,FALSE
1ohq_1,0.115804066543,0.272463768116,1,0.388267834659,TRUE
1okj_1,0.0585557986871,0.174563591022,1,0.2331193897091,TRUE
1ov4_1,0.0130496033217,0.0801068090788,1,0.0931564124005,TRUE
1ovn_1,0.0558364353575,0.0776053215078,0,0.06672087843265,FALSE
1oya_1,0.0283273663715,0.228571428571,1,0.2568987949425,FALSE
1p35_11,0.0202911336568,0.05039193729,1,0.0706830709468,FALSE
1p8l_1,0.0481254827402,0.0721533258174,0,0.0601394042788,FALSE
1pcz_1,0.154453416898,0.315104166667,1,0.469557583565,FALSE
1poe_1,0.0219074432518,0.0482233502538,1,0.0701307935056,FALSE
1pp3_2,0.152557449963,0.238377843719,1,0.390935293682,FALSE
1prx_1,0.249484673183,0.348137535817,0,0.2988111045,TRUE
1psq_1,0.0495905368517,0.239057239057,1,0.2886477759087,TRUE
1q1e_2,0.042568745431,0.0689655172414,1,0.1115342626724,FALSE
1q1n_1,0.0531861153208,0.252440725244,1,0.3056268405648,FALSE
1q4j_1,0.0352595494613,0.219709208401,0,0.12748437893115,FALSE
